English ,Hindi
abatement,उपशमन
A-band,ए-पट्ट
abortive infection,विफल संक्रमण
abortive transduction,विफल पारक्रमण
abortive transformation,विफल रूपांतरण
absorbance,"1.अवशोषणांक ,2.अवशोष्यता"
abzyme (catalytic anibody),एब्जाइम (उत्प्रेरकी प्रतिपिंड)
accessory cell,सहायक कोशिका
accessory chromosome,सहायक गुणसूत्र
acclimatization,दशानुकूलन
acid phosphatase,अम्ल फास्फेटेज
acidification,अम्लन
acidobiotic,अम्लजीवी
acidogenesis,अम्लोत्पत्ति
acinar cell,गुच्छकोष्ठक कोशिका
acquired immunity,उपार्जित प्रतिरक्षा
alternative splicing,विकल्पी संबंधन
actinorriza,एक्टिनोराइजा
activated carrier,सक्रियित वाहक
activated sludge,सक्रियित आपंक
activation,सक्रियण
activator-dissociation system,सक्रियक-वियोजन तंत्र
active gene pool collection,सक्रिय जीन पुल संग्रहण
active site,सक्रिय स्थल
adaptive cellular therapy,अनुकूली कोशिकीय उपचार
adaptive immunization,अनुकूली प्रतिरक्षा
adaptive radiation,अनुकूलीय विकिरण
adaptive strain,अनुकूली प्रभेद
additive gene,योजी जीन
adenovirus,ग्रंथि विषाणु
adenylate cyclase,ऐडेनिलेट साइक्लेज
adenylation,ऐडेनिलेटन
ADH gene,ए.डी.एच जीन
adhesion,आसंजन
adinocarcinoma,ग्रंथि उपकलाबुर्द
adjuvant,सहवर्धी
A-DNA,ए. डी.एन.ए
adsorption,अधिशोषण
adult stem cell,वयस्क मूल कोशिका
aeration,"1.वातन ,2.वायुमिश्रण"
aeroallergen,वायुप्रत्यूर्जक
aerobic reactor,वायवीय अभिकारक
aerosol,वायुविलय
affinity isolated antibody,बंधुता विलगित प्रतिपिंड
affinity precipitator,बधुंता अवक्षेपित्र
affinity tag,बंधुता टैग
aflatoxin,ऐफ्लाटॉक्सिन
agar diffusion test,ऐगार विसरण परीक्षण
agarose gel electrophoresis,ऐगेरोस जेल वैद्युतकण संचलन
ageing of wine,मद्य काला प्रभावन
agglutinant,आश्लेषक
