English ,Hindi ,Definition
abactinal ,पृष्ठीय,"अरतः सममित प्राणियों की मुख से विपरीत सतह से संबद्ध । शूल 
चर्मियों के शरीर का बिना नाल पद वाला क्षेत्र जिसमें प्रायः 
मेड्रीपोराइट सम्मिलित होता है । "
A-band ,ए.-पद्ट ,"पेशी की अनुदैर्घ्य काट के परासंरचनात्मक विवरण में दृष्टिगोचर 
पेशीन्यास के संकुचनशील भाग का एजोन जिसमें मोटे और पतले 
दोनों प्रकार के तंतुक पाए जाते है। यह एच.-जोन/एच.-पद्ट के 
दोनों ओर होता है । "
abaxial ,"अपाक्ष 
",अक्ष से दूर की ओर निर्दिष्ट । 
abdomen ,"उदर 
","1. कशेरुकियों के शरीर में वक्ष और श्रोणि मेखला के बीच का भाग । 
2. आर्थोपोडा संघ के इंसेक्टा, क्रस्टेशिया तथा एरेकनिडा वर्गौ में 
वक्ष या शिरोवक्ष के पीछे का भाग । "
"abdominal appendage 
",उदरीय उपांग ,उदर से निकलने वाले बाहय-पाद या उन्ही के समान संरचनाएं । 
abdominal ganglion,उदरीय गुच्छिका ,"आहारनाल और दीर्घ अधर-पेशियों के बीच स्थित छोटा अंडाकार 
तंत्रिका कैद्र, जो आम तौर पर कीट के प्रत्येक उदरीय खंड में एक 
होता है । कभी-कभी ये गुच्छिकाएं संयुक्त होकर उदर के पश्च खंडौं 
में तंत्रिकाओं की आपूर्ति कर देती हैं । "
abducent nerve (abducens),अपचालिनी तंत्रिका,"कशेरुकियों में छठी युग्मित कपाल तंत्रिका। यह प्रेरक तंत्रिका चतुर्थ वेन्ट्रिकल 
के तल के नीचे से निकल कर आंखों की बाह्य ऋजु पेशी तक जाती है।"
abductor coxa ,अपवर्तनी कक्षांग,शक्तिशाली कक्षांग पेशियों में से दूसरी पेशी।
abductor muscle ,अपवर्तनी पेशी ,किसी अंग या अवयव को शरीर की मध्यवर्ती रेखा या मुख्य अक्ष से बाहर की ओर ले जाने वाली पेशी।
Abiogenesis ,अजीवात्जनन,अजीवित पदार्थ से जीवों की उत्पत्ति की एक प्राचीन मिथ्या संकल्पना। इसे स्वतःजनन (स्पॉन्टेनियस जेनेरेशन) भी कहते हैं।
Abiotic,अजैव,"जैव-मंडल के अजैविक घटक जिनमें वायु, जल, भूमि और लवण आते हैं। इन अजैविक कारकों में तापक्रम, आर्द्रता, वर्षा, 
सूर्य का प्रकाश, वायु की गति, पी.एच. और रसायन सम्मिलित हैं जो जैविक क्रियाओं को नियंत्रित करते हैं।"
Abomasum ,"चतुर्थ आमाशय, एबोमेसम",रोमंथी प्राणियों में आमाशय का चौथा भाग जिसे पाचन की दृष्टि से वास्तविक आमाशय कहा जा सकता है।
Aboral,अपमुख,मुंह से दूर अथवा उसके सामने की ओर स्थित।
Abranchiate,अक्लोमी,बिना क्लोम या गिलों वाला।
Abrasion ,"अपघर्षण, खरोंच",त्वचा पर घर्षण अथवा रगड़ से होने वाली क्षति।
Absolute,पूर्ण आकलन,
Estimation ,,"किसी आवास में पहले से निर्धारित एकक में कीटों की संख्या की गणना। यह प्रति इकाई गणना आयतन, क्षेत्र, प्रति पादप परपोषी, प्रति प्राणि परपोषी आदि के 
संदर्भ में कीटों के घनत्व का आकलन बताती है। उदाहरण के लिए मानकीकृत चूषक पाशों द्वारा वायु से नमूना लेना, पादप भागों से 
अचल अवस्थाओं जैसे अंडे और प्यूपों को एकत्रित करना, पादप भागों पर अशन करते लारवों को एकत्रित करना अथवा उनकी पूरी पंक्ति अथवा प्रति वर्ग मीटर से कीटों अथवा उनकी परिपक्व अवस्थाओं की गणना करना। "
Absorption ,अवशोषण,जीवित कोशिकाओं और ऊतकों द्वारा तरल और विलेयों का अंतर्ग्रहण।
Acanthocephala ,एकेन्थोसेफैला,कूट प्रगुही (स्यूडोसीलोमेट) प्राणियों का एक संघ जिनको सामान्य भाषा में कंटशीर्ष कृमि कहते हैं। इनके वयस्क कशेरुकियों के आंत्र-परजीवी और डिभंक संधिपाद प्राणियों के परजीवी होते हैं। 
acanthocephalous ,कंटशीर्ष,अंकुशित शुंडिका (proboscis) वाला।
