तरीका,पद्धति
तरीके,पद्धतियाँ
तरीकों,पद्धतियों
याद,स्मरण
खुशी,प्रसन्नता
नरम,कोमल
क़िताब,पुस्तक
क़िताबे,पुस्तके
क़िताबों,पुस्तकों
किताब,पुस्तक
किताबे,पुस्तके
किताबों,पुस्तकों
शायद,सम्भवतः
शामिल,समावेश
शामिल,समाविष्ट
इमारत,भवन
इमारतों,भवनों
तसवीर,चित्र
तसवीरे,चित्र
तसवीरों,चित्रों
तस्वीर,चित्र
तस्वीरे,चित्र
तस्वीरों,चित्र
चीज,पदार्थ
चीज़,पदार्थ
चीज़ें,पदार्थ
चीजों,पदार्थों
चीज,वस्तु
चीज़,वस्तु
चीजें,वस्तुएँ
चीज़ें,वस्तुएँ
चीज़ों,वस्तुओं
याद,स्मरण
खाली,रिक्त
आसानी से,सरलता से
फैसला,निर्णय
परवाह,चिंता
दोस्त,मित्र
दोस्तों,मित्रों
उम्र,आयु
शर्त,प्रतिबन्ध
शर्ते,प्रतिबन्ध
शर्तों,प्रतिबन्धों
शर्त,प्रतिबंध
नाखून,नख
जानवर,पशु
जानवरों,पशुओं
जानवर,प्राणि
जानवरों,प्राणिओं
सुराग,संकेत
सुरागों,संकेतों
सवाल,प्रश्न
सवालों,प्रश्नों
तलाशने,ढूँढने
तलाशने,खोजने
कोशिश,प्रयत्न
कोशिशओं,प्रयत्नों
कोशिश,प्रयास
कोशिशओं,प्रयासों
बुजुर्ग,वृद्ध
बुजुर्गों,वृद्धों
सबूत,प्रमाण
सुबूत,प्रमाण
सबूतों,प्रमाणों
दुनिया,जगत
दुनिया,संसार
दुनिया,जग
दुनिया,विश्व
साल,वर्ष
सालों,वर्षों
इस्तेमाल,उपयोग
इस्तेमालों,उपयोगों
इस्तेमाल,प्रयोग
इस्तेमालों,प्रयोगों
आम तौर पर,सामान्यतः
आम तौर पर,सामान्यतया
आम तौर पर,साधारणतः
आम तौर पर,साधारणतया
सब्जी,भाजी
सब्जियाँ,भाजी
तरकारी,भाजी
खुश,प्रसन्न
खुश,आनंदित
खुश,पुलकित
खुश,हर्षित
खोजना,ढूँढने
नक़्ल,अनुकरण
नकल,अनुसरण
नक़ल,अनुगमन
नक़्ल,प्रति
नज़र-अंदाज़,उपेक्षित
नजर-अंदाज,उपेक्षित
नज़र-अन्दाज़,उपेक्षित
नजर-अन्दाज,उपेक्षित
नज़र अंदाज़,उपेक्षित
नजर अंदाज,उपेक्षित
नज़र अन्दाज़,उपेक्षित
नजर अन्दाज,उपेक्षित
नजरंदाज,उपेक्षित
नज़रंदाज़,उपेक्षित
नजरन्दाज,उपेक्षित
नज़रन्दाज़,उपेक्षित
दायरा,कार्यक्षेत्र
दायरे,कार्यक्षेत्र
आसान,सरल
मौजूद,उपस्थित
मौजूद,विद्यमान
दवा,औषध
ज़्यादा,अधिक,", "
ज्यादा,अधिक
ज़्यादा,बहुत
ज्यादा,बहुत
गुमराह,भ्रमित
अकसर,प्रायः
अकसर,अधिकतर
हज़ारों,सहस्त्रों
हज़ार,सहस्त्र
अक़्ल,बुद्धि
अख़बार,समाचार
अख़बारों,समाचारों
अख़बार,समाचारपत्र
अख़बारों,समाचारपत्रों
अख़बार,वृत्तपत्र
अख़बारों,वृत्तपत्रों
अख़बार,वर्तमान पत्र
अख़बारों,वर्तमान पत्रों
अगर,यदि
अगल़ात,अशुद्धियां
अज़ल,अनन्तकाल
अज़ल,सनातनत्व
अज़ल,नित्यता
अजब,कौतुक
अजब,आश्चर्य
अजब,असाधारण
अजीब,आश्चर्यजनक
अजीब,अद्भुत
अजीब,निराला
अदीब,विद्वान
अदीब,"जानकार, तज्ञ,"
अदीब,तज्ञ
अदालत,न्यायालय
अन्दाज़ा,अनुमान
खैर!,ऐसा ही सही!
खैर!,अस्तु!
खैर!,अच्छा!
