English ,Hindi
abiogenesis,अजीवात् जनन
abnormal,अपसामान्य
abomasum,1. चतुर्थ आमाशय 2. ऐवोमैसम
aborted organ,रुद्ध-वृद्धि अंग
aborted seed,रुद्ध वृद्धि बीज
abortion,1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध
absolute weed,1. अवांछित अपतृण 2. पूर्ण खरपतवार
absorbed cation,अवशोषित धनायन
absorption,अवशोषण
abyssinian mustard,ऐबिसिनी सरसों
acaricide,1.एकेरेसनाशी 2. चिचड़ीनाशी
accentric,अकेंद्री
accentuate (cell),प्रवर्धन (कोशिका)
accepted tolerance,स्वीकृत सह्यता
accessory,1.अतिरिक्त 2. सहायक 3. गौण
acclimatization,पर्यनुकूलन
accumulation,संचय
accuracy,1.vयथार्थता 2. परिशुद्धता
acervulus,1. एसर्वुलस 2. बीजाणुपात्र
acetification,1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन
acidification,1. अम्लीकरण 2. अम्लन
acidimeter,1.अम्लतामापी 2. एसिडीमीटर
acidity,अम्लता
acidophilic,अम्लरागी
acidulated rock phosphate,अम्लीकृत रॉक फॉस्फेट
aciduric,अम्लसह
acquifer,जलभृत
acquisition,अधिग्रहण
acre,एकड़
acreage,1.क्षेत्रफल 2. रकबा
acrocentric chromosome,उपांत बिंदु क्रोमोसोम
acropetal,अग्राभिसारी
acrosome,ऐक्रोसोम
actinomycetes,एक्टिनोमाइसिटीज
active root zone,सक्रिय मूलक्षेत्र
acute,1.उग्र 2. तीव्र
adaptability,अनुकूलनशीलता
adaptation,अनुकूलन
adhesion,1. आसंजन 2. अभिलाग
adipose,वसामय
adjustment equation,समायोजन समीकरण
adobe soil,ऐडोब मृदा
adulterant,अपमिश्रक
adventitious,अपस्थानिक
aecidiospore,इसीडियोस्पोर इसीडियम बीजाणु
aeolian process,वातोढ़ प्रक्रिया
aeolian,वातोढ़
aerate,वातन करना
aerial,1. वायव 2. आकाशी
aerometer,1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप
aerosol,ऐरोसोल
aestivation,1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता
aetiology (etiology),रोग हेतु विज्ञान
afforestation,वनरोपण
agitation,1. विलोडन 2. प्रक्षोभन
agmark,ऐगमार्क
agrarian,1. भूमि संबंधी 2. कृषि संबंधी
agricultural clinic,कृषि निदानालय
agricultural labour,1. कृषि श्रम 2. खेतिहर मजदूर
agricultural marketing,कृषि विपणन
agricultural technology,कृषि प्रद्योगिकी
agriculture,1. कृषि 2. खेतीबारी 3. कृषि विज्ञान
agrisilviculture,कृषि वनवर्धन
agrobiodiversity,कृषि जैविक विविधता
agrobiological defects,कृषि जैविक दोष
agrobiology,कृषि जैविकी
agroclimatic diversity,कृषि जलवायुवीय विविधता
agroclimatic zoning,कृषिजलवायुवीय जोन निर्माण
agroforestry,कृषिवानिकी
agrology,सस्य मृदा विज्ञान
agronomy,सस्य विज्ञान
agropastoral,कृषि पशुचारणिक
agroprocessing,फसल प्रसंस्करण
agrostology,घास विज्ञान
agrotype,सस्य प्ररूप
air plant,अधिपादप
akiochi soil,ऐकिओची मृदा
albinism,वर्णकहीनता
alfisols,एल्फिसॉल
algae,शैवाल
algal disease,शैवाल रोग
alkali water,क्षार जल
alkaline,क्षारीय
allele,विकल्पी
allelochemicals,एलीलो रसायन
allelomorph,युग्मविकल्पी
allelopathy,एलीलोपैथी
alley cropping,वीथी सस्यन
allocarpy,परनिषेक-फलता
allogamy,परनिषेचन
allometry,1. सापेक्षमिति 2. ऐलोमैट्री
allopolyploid,परबहुगुणित
allosynapsis (allosyndesis),1. परयुग्मन 2. अपायुग्लन
alternate bearing,1. एकातंर वर्ष फलन 2. एकांतरित फलन
alternate land use,वैकल्पिक भूमि उपयोग
ambient,परिवेश
ameliorant,सुधारक
amitosis,असूत्रीविभाजन
amminization,ऐमीनन
ammonification,अमोनियन
ammonifier,अमोनीकारक
amorph,1.अप्रभावी रूप  2.अरूपी
amphimixis,उभय मिश्रण
amphoteric,उभयधर्मी
anabolism,उपचय
anaerobe,1. अवायुजीव 2. अनाक्सी जीव
aneuploid,असुगुणित
angle planting,कोणीय रोपण
animal husbandry,पशुपालन
