English,Hindi,Definition
Abelian group ,आबेली समूह,ऐसा समूह जिसकी संक्रिया क्रम विनिमेय हो ।
Abel’s theorem ,आबेल प्रमेय,"घात श्रेणियों से संबद्ध निम्नलिखित प्रमेय : किसी चर X की प्रत्येक घात-श्रेणी a0+a1x+a2x∧2+........+anx∧n+....... के लिए एक ऐसी संख्या R का अस्तित्व है. (जहां 0 ≤ R < ∞ ) जिसे अभिसरण-त्रिज्या कहते और जिसके निम्नलिखित गुणधर्म है :
(1) यदि || x || < R है तो प्रत्येक x के लिये श्रेणी अभिसारी है । यदि 0 ≤ 𝜌 < R  तो | x |  ≤ 𝜌 के लिए अभिसरण एकसमान है ।
(2) यदि x > R  है तो श्रेणी के पद अपरिबद्ध है और परिणामस्वरूप श्रेणी अभिसारी है ।
(3) | x | < R  में श्रेणी का योग एक वैश्लेषिक फलन है जिसका अवकलज पदशः अवकलन से प्राप्त होता है । इस अवकलित श्रेणी की अभिसरण-त्रिज्या
भी R होगी। चर x सम्भमिश्र भी हो सकता है ।
"
aberration ,अपेरण,"सामान्य से विचलन । जैसे (खगोल विज्ञान में) तारों एवं अन्य खगोलीय पिंडों की आभासी स्थिति में प्रकाश की गति और प्रेक्षक के रिथति-परिवर्तन के
संयुक्त प्रभाव के फलस्वरूप होने वाला लघु विस्थापन ।"
aberrational constant ,अपेरण-रिथरांक,"किसी खगोलीय पिंड के अपेरण के परिकलन में प्रयुक्त एक स्थिरांक k जिसका सूत्र निम्नलिखित हैः
k = 2𝛱a cosec 1"" / cT√1-e∧2
जहां a पृथ्वी की कक्षा का अर्ध-दीर्धाक्ष है, c प्रकाश का वेग है, T माध्य सौर सेकंडों में अभिव्यक्त नाक्षत्र वर्ष है और e पृथ्वी की कक्षा की उत्केद्रता है । यदि
किसी पिंड की वास्तविक दिशा 𝛳 है तो अपेरणाजन्य विस्थापन k sin 𝛳 है ।"
ab-initio differentiation ,आदितः अवकलन,किसी ज्ञात सूत्र का प्रयोग न करके केवल आश्रित और स्वतंत्र चरों की लघु वृद्धियों के अनुपात की सीमा को आधार मानकर किया गया अवकलन ।
abscissa,भुज,कार्तीय निर्देशांक-पद्धति में किसी बिंदु की ऊर्ध्वाधर अक्ष से मापी गई लांविक दूरी । यदि विंदु ऊर्ध्वाधर अक्ष की दाई ओर होता है तो भुज धनात्मक होता है अन्यथा ऋणात्मक । बिंदु का x निर्देशांक उसकी ’भुज' कहलाता है ।
absolute convergence ,निरपेक्ष अभिसरण,यदि किसी श्रेणी के पदों को उनके निरपेक्ष मानों से प्रतिस्थापित करने पर श्रेणी अभिसारी रहती है तो श्रेणी के इस गुणधर्म को निरपेक्ष अभिसरण कहते है। इस गुणधर्म वाली प्रत्येक श्रेणी अभिसारी होती है ।
absolute deviation ,निरपेक्ष विचलन,"दो मानों के अंतर का चिन्ह-निरपेक्ष मान । उदाहरणार्थ, किसी मान x का दूसरे मान a से अंतर का चिन्ह-निरपेक्ष मान, जिसे । x-a । से व्यक्त करते हैं।"
absolute error, निरपेक्ष त्रुटि,"माप गुणन में वास्तविक त्रुटि अयथार्थता; उदाहरप्पार्थ, यदि 6 मीटर लंबी छड़ 6 मीटर 2 सेंटीमीटर माप ली गी है तो उसकी निरपेक्ष त्रुटि 2 सेंटीमीटर होगी।"
absolutemagnitude ,निरपेक्ष कांतिमान (खगोलिकी),किसी खगोलीय पिंड की वह नैज ज्योति जो उससे 10 पारसेकों की दूरी पर परिलक्षित होती है।
absolutemaximum ,परम उच्चिष्ठ,"यदि किसी नियत अंतराल में किसी वास्तविक एक चर फलन का एक ही उच्चिष्ठ हो, तो उस मान को, अंतराल का परम उच्चिष्ठ कहते हैं। उच्चिष्ठों की संख्या एक से अधिक होने पर अधिकतम मान का उच्चिष्ठ, अंतराल का परम उच्चिष्ठ होता है।"
absolute minimum ,परम निम्निष्ठ,"यदि किसी नियत अंतराल में किसी एक चर वास्तविक फलन का एक ही निम्निष्ठ हो तो उस मान को अंतराल का परम निम्निष्ठ कहते हैं। निम्निष्ठों की संख्या एक से अधिक होने पर लघुतम मान का निम्निष्ठ, अंतराल का परम निम्निष्ठ होता है।"
absolute number ,निरपेक्ष संख्या,"ऐसी राशियां जो संख्या से ही निरूपित हो, न कि बीजगणितीय बीज या अक्षरों से; जैसे √2, 3 या 5 न कि a,x,P"
absolute value ,निरपेक्ष मान,"1. किसी संख्या का वह संख्यात्मक मान जिसमें चिन्ह की अपेक्षा न होती हो। किसी वास्तविक संख्या x का निरपेक्ष मान स्वयं एक वास्तविक संख्या है जो x के बराबर है इसे |x | से प्रदर्शित किया जाता है। 
2. संमिश्र संख्या का वह मान जिसमें अधिकल्पित अंश की अपेक्षा न होती हो। जैसे a+ib का निरपेक्ष मान √a∧2+b∧2 है और प्रतीक |a + ib| है, इसे |i|। से भी लिखा जाता है। 
3. अवयव a1, a2,....an वाले सदिश का निरपेक्ष मान √a1∧2+a2∧2 +....+an∧2 होता है। "
"abstract algebra 
",अमूर्त बीजगणित ,"बीजगणित की वह शाखा जिसमें समूह (ग्रुप), वलय (रिंग), क्षेत्र (फील्ड), सदिश समष्टि आदि अमूर्त बीजीय संकल्पनाओं की अध्ययन होता है। दे० algebra. "
abstract space ,अमूर्त समष्टि ,"सरंचनात्मक गुणों वाले अरिक्त समुच्चयों के लिए व्यापक-पद-ये संरचनाएं किन्हीं मूर्त ज्यामितीय सतत् एवं रेखिय गुणों से प्रभावित होते हैं। जैसेसांस्थितिक समष्टि, यूक्लीडिय समष्टि, सदिश समष्टि, 
आदि। "
acceleration ,"त्वरण 
","वेग के परिवर्तन की दर। गणित में इसे dv/dt अथवा d∧2s/dt से व्यक्त किया जाता है, जो समय t के सापेक्ष वेग का अवकलज है एवं विस्थापन s का द्वितीय अवकलज है।"
acceleration vector ,त्वरण-सदिश ,सदिश जो किसी गतिमान बिंदु के वेग परिवर्तन कीदर को दर्शाता हो। यदि विस्थापन सदिश r हो तो वेग सदिश v=dr/dt तथा त्वरण सदिश = dv/dt= d ⋀2r/dt ⋀2 
