Abelian group,आबेली समूह,आबेल गट
abelian semigroup,आबेली सामिसमूह,आबेल उपगट
abscissa,भुज,भुजांक
absolute,"निरपेक्ष, परम, अचर, परिशुद्‌ध","निरपेक्ष, केवल, केवळ"
absolute convergence,निरपेक्ष अभिसरण,केवल अभिसरण
absolute error,निरपेक्ष त्रुटि,केवल त्रुटी
absolute maximum,परम उच्चिष्ठ,केवल महत्तम
absolute minimum,परम निम्निष्ठ,केवल लघुतम
absolute value,निरपेक्ष मान,केवल मूल्य
absolute velocity,निरपेक्ष वेग,केवल वेग
abstract algebra,अमूर्त बीजगणित,अमूर्त बीजगणित
abstract group theory,अमूर्त समूह सिद्‌धांत,अमूर्त गट सिद्‌धांत
acceleration,त्वरण,त्वरण
acceleration due to gravity,गुरुत्वीय त्वरण,गुरुत्व त्वरण
acceptable choice set,स्वीकार्य वरण-समुच्चय,स्वीकारार्ह निवड संच
acceptable quality level,स्वीकार्य गुणता स्तर,स्वीकारार्ह गुणवत्ता स्तर
acceptable range,स्वीकार्य परिसर,स्वीकारार्ह व्याप्ती
acceptable reliability level,मान्य विश्वसनीयता स्तर,स्वीकारार्ह विश्वसनीयता स्तर
acceptable sampling,स्वीकरण-प्रतिचयन,स्वीकारार्ह निवड
accumulated error,संचित त्रुटि,संचित त्रुटी
accuracy,यथार्थता,अचूकता
acting force,लगा हुआ बल,कार्यरत बल
action,1. क्रिया 2. कर्म,क्रिया
action and reaction,क्रिया और प्रतिक्रिया,क्रिया आणि प्रतिक्रिया
acturial science,बीमा विज्ञान,विमाशास्त्र
acute angled triangle,न्यूनकोण त्रिभुज,लघुकोन त्रिकोण
acyclic,अचक्रीय,अचक्रिय
add,"योग करना, जोड़ना","जोडणे, बेरीज करणे"
adder,योजक,जोडणारा
addition,"योग, जोड़, संकलन (स.), योगात्मक (वि.)",बेरीज
addition formula,योग का सूत्र,बेरीजसूत्र
addition of complex numbers,सम्मिश्र संख्याओं का योग,संमिश्र संख्याची बेरीज
addition of functions,फलनों का योग,फलबेरीज
addition of matrices,आव्यूहों का योग,सारणी बेरीज
addition of polynomials,बहुपदों का योग,बहुपदींची बेरीज
addition of probabilities,प्रायिकताओं का योग,संभाव्यता बेरीज
addition of vectors,सदिशों का योग,सदिश बेरीज
addition theorem,"योग प्रमेय बेरीज सिद्‌धांत,",बेरीज प्रमेय
additive group,योज्य समूह,बेरजीय गट
additive inverse,योज्य व्युत्क्रम,बेरजीय व्यस्त
additive property,"योज्यता, योगशीलता",बेरजीय गुणधर्म
additivity,योज्यता,बेरजीयता
adjacency matrix,आसन्नता आव्यूह,संलग्नीत सारणी
adjacent,"1. संलग्न, निकटवर्ती 2. आसन्न",संलग्न
adjacent angles,आसन्न कोण,संलग्न कोन
adjacent vertex,आसन्न शीर्ष,संलग्न शिरोबिंदू
adjoin,सहबद्‌ध करना,जोडणे
adjoining,"संलग्न संलग्नीत,",लगतचा
adjoint determinant,सहखंडज सारणिक,संलग्न सारणिक
adjoint differential equation,संलग्न अवकल समीकरण,संलग्न विकल समीकरण
adjoint equation,संलग्न समीकरण,संलग्न समीकरण
adjoint matrix,सहखंडज आव्यूह,संलग्नीत सारणी
adjoint of matrix,आव्यूह सहखंडज,सारणीची संलग्नता
adjugate matrix,सहखंडज आव्यूह,संलग्न सारणी
admissible decision function,ग्राह्य निर्णय फलन,स्वीकारार्ह निर्णयफल
admissible hypothesis,ग्राह्य परिकल्पना,स्वीकारार्ह परिकल्पना
aerodynamic force,वायुगतिक बल,वायुगतीक बल
aerodynamics,वायु गतिकी,वायु गतीकी
affine geometry,सजातीय ज्यामिति,मितिरशी भूमिती
affine mapping,सजातीय प्रतिचित्रण,मितिरशी प्रतिचित्रण
affine transformation,सजातीय रूपांतरण,मितिरशी रूपांतरण
aggregating variables,समुच्चयी चर,समुच्चयी चल
algebra,"1. बीजगणित, ऐलजेब्रा 2. बीजावली 3. बीजक्रिया",बीजगणित
algebraically closed,"बीजतः संवृत, बीजतः",बंद बैजिकरित्या संवृत्त
algebraic equation,बीजीय समीकरण,बैजिक समीकरण
algebraic expression,बीजीय व्यंजक,बैजिक राशी
algebraic form,बीजीय समघात,बैजिक रूप
algebraic function,बीजीय फलन,बैजिक फल
algebraic geometry,बीजीय ज्यामिति,बैजिक भूमिती
algebraic multiplicity,बीजीय बहुकता,बैजिक बहुलत्व
algebraic system,बीजीय निकाय,बैजिक प्रणाली
all-integer problem,सर्व-पूर्णांक समस्या,सर्व-पूर्णांक प्रश्न
allocation problem,"नियतन समस्या वाटपप्रश्न,",वाटणीप्रश्न
alphabetical notation,अक्षरात्मक संकेत पद्‌धति,वर्णमाला चिन्ह
alphabetic character,अक्षरात्मक संप्रतीक,वर्णमाला संचिन्ह
alternate angle,एकांतर कोण,व्युत्क्रम कोन
alternating form,"एकांतर समघात प्रत्यावर्ती रूप,",एकांतरीत रूप
alternating group,एकांतर समूह,एकांतरीत गट
alternating matrix,एकांतर आव्यूह,प्रत्यावर्ती सारणी
alternating series,एकांतर श्रेणी,प्रत्यावर्ती श्रेणी
alternative hypothesis,वैकल्पिक परिकल्पना,वैकल्पिक परिकल्पना
alternative optima,वैकल्पिक इष्टमत,वैकल्पिक इष्टतम
alternative outcome,वैकल्पिक परिणाम,वैकल्पिक निष्पत्ति
analog-to-digital converter,अनुरूप-अंकीय परिवर्तक,अनालॉग-डिजीटल परिवर्तक
analogue computer,"अनुरूप कम्प्यूटर,",अनुरूप अभिकलित्र अनालॉग संगणक
analysis,विश्लेषण,विश्लेषण
analysis of covariance,सहप्रसरण-विश्लेषण,सहविचरण विश्लेषण
analysis of enumeration data,गणन-आंकड़ों का विश्लेषण,गणन सामग्री विश्लेषण
analysis of variance,प्रसरण-विश्लेषण,विचरण विश्लेषण
analytic geometry,विश्लेषिक ज्यामिति,वैश्लेषिक भूमिती
analytic function,विश्लेषिक फलन,वैश्लेषिक फल
angle,कोण,कोन
angle of contact,स्पर्श-कोण,स्पर्शकोन
angle of deflection,विक्षेप-कोण,विक्षेपणकोन
angle of depression,अवनमन-कोण,अवनतकोन
angle of deviation,विचलन-कोण,विचलनकोन
angle of diffraction,विवर्तन-कोण,विवर्तनकोन
angle of elevation,उन्नयन-कोण,उन्नतकोन
angle of incidence,आपतन-कोण,आपातीकोन
angle of projection,प्रक्षेप-कोण,प्रक्षेपकोन
angle of reflection,परावर्तन-कोण,परावर्तनकोन
angle of refraction,अपवर्तन-कोण,अपवर्तनकोन
angle of rotation,घूर्णन-कोण,घूर्णनकोन
angle of total reflection,पूर्ण परावर्तन-कोण,पूर्ण परावर्तनकोन
angular acceleration,कोणीय त्वरण,कोनीय त्वरण
angular motion,कोणीय गति,कोनीय गती
angular speed,कोणीय चाल,कोनीय चाल
angular velocity,कोणीय वेग,कोनीय वेग
annulus,वलयिका,कंकण
answer,उत्तर,उत्तर
anti – derivative,प्रति-अवकलज,प्रतिविकलज
antisymmetric function,प्रतिसममित फलन,प्रतिसममित फल
applicable,"1.आच्छाद्य 2. अनु प्रयोज्य, लागू","लागू, उपयोज्य"
application,"अनुप्रयोग उपयोजन,",उपयोग
applied dynamic programming,अनुप्रयुक्त गतिशील प्रोग्रामन,उपयोजीत गतीशील तार्किकी
applied geometry,अनुप्रयुक्त ज्यामिति,उपयोजित भूमिती
applied mathematics,अनुप्रयुक्त गणित,उपयोजित गणित
applied statistics,अनुप्रयुक्त सांख्यिकी,उपयोजित संख्याशास्त्र
approximately,"सन्निकटतः, लगभग","अंदाजे, निकटत:"
approximately continuous function,सन्निकटतः संतत फलन,निकटत: सलगफल
approximate method,"स्थूल विधि, सन्निकट विधि",निकट पद्‌धती
approximate solution,सन्निकट हल,निकट उकल
approximation problem,सन्निकटन-समस्या,निकटन प्रश्न
approximation property,सन्निकटन-गुणधर्म,निकटन गुणधर्म
aptitude test battery,अभिक्षमता-परीक्षावली,अभिक्षमता-परिक्षावली
Argand diagram,आरगाँ आरेख,अरगँड आलेख
arbitrarily chosen,स्वेच्छगहीतृ,स्वेच्छेने निवडलेले
arbitrary,"स्वेच्छ, यादृच्छिक","स्वेच्छिक, कोणताहि"
arbitrary constant,स्वेच्छ अचर,स्वेच्छिक स्थिरांक
arbitrary element,स्वेच्छ अवयव,स्वेच्छिक घटक
arbitrary point,स्वेच्छ बिन्दु,स्वेच्छिक बिंदू
Archemedean law,आर्किमीडी नियम,आर्किमिडीय-नियम
Archimedes principle,आर्किमीडीज़ का नियम,आर्किमिडिजचे तत्व
arc length,"चाप-दैर्घ्य, चाप-लम्बाई",कंसाची लांबी
arc of circle,वत्तृ चाप,वर्तुळकंस
arc sine distribution,प्रतिलोम ज्या बंटन,आर्क साइन वितरण
arc sine transformation,प्रतिलोम ज्या रूपांतरण,आर्क साइन रूपांतरण
area,1. क्षेत्र 2. क्षेत्रफल,क्षेत्रफळ
areal texture,क्षेत्रीय विन्यास,क्षेत्ररचना
argument of complex number,सम्मिश्र संख्या का कोणांक,संमिश्र संख्येचा कोनांक
arithmetic mean,समांतर माध्य,अंकगणिती मध्य
arithmetic operation,अंकीय संक्रिया,अंकगणिती क्रिया
arithmetic unit,अंकीय एकक,अंकगणिती एकक
arrangement,"विन्यास, व्यवस्था","मांडणी, रचना, व्यवस्था"
array,1.व्यूह 2. सरणी,संरचना
artificial satellite,कृत्रिम उपग्रह,कृत्रिम उपग्रह
artificial variable,कृत्रिम चर,कृत्रिम चल
ascend,आरोहण करना,चढणे
ascending,आरोही,चढता
ascending order of magnitude,परिमाण का आरोही क्रम,परिमाणाचा चढता क्रम
ascending series,आरोही श्रेणी,चढती श्रेणी
assembler language,कोडांतरक भाषा,कोडांतरक भाषा
assignment problem,"नियतन समस्या नियतन प्रश्न,",नियतन समस्या
associative law,साहचर्य नियम,साहचर्य नियम
associative law of operators,संकारकों का साहचर्य नियम,परिकर्मी साहचर्य नियम
associative operation,साहचर्य-संक्रिया,परिकर्मी साहचर्य
associativity,सहचारिता,साहचर्यता
assumed mean,कल्पित माध्य,गृहीत मध्य
assumed probability distribution,कल्पित प्रायिकता बंटन,गृहीत संभाव्यता वितरण
assumption,"1. कल्पना 2. गृहीत,",अभिधारणा गृहीत
astrology,ज्योतिष,ज्योतिषशास्त्र
astronautical engineer,"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",अंतरीक्ष अभियंता
