English, Hindi ,,,
aberration,विपथन,,,
abietic acid,एबिएटिक अम्ल,,,
abnormal,अपसामान्य,,,
abrasion1,अपघर्षण 2. खरोंच,,,
absolute,"1. निरपेक्ष ,2. परम, 3. परिशुद्ध",,,
absolute alcohol,परिशुद्ध ऐल्कोहॉल,,,
absolute bolometric luminosity,निरपेक्ष तेजमापीय ज्योति,,,
absolute configuration,निरपेक्ष विन्यास,,,
absolute permittivity,निरपेक्ष विद्युत्शीलता,,,
absolute reaction rate,निरपेक्ष अभिक्रिया दर,,,
absolute temperature,परम ताप,,,
absolute zero,परम शून्य,,,
absorbance,अवशोषणांक,,,
absorbent,अवशोषक,,,
absorption,अवशोषण,,,
absorption of radiant energy,विकिरणी ऊर्जा-अवशोषण,,,
absorptive power,"अवशोषी क्षमता,अवशोषकता",,,
absorptivity,अवशोषकता,,,
accelerated erosion,त्वरित अपरदन,,,
acceleration,त्वरण,,,
acceleration due to gravity,गुरुत्वीय त्वरण,,,
accelerative,त्वरणी,,,
accelerator,1. त्वरित्र 2. त्वरक,,,
accentric,अकेंद्री,,,
acceptability,स्वीकार्यता,,,
acceptor,1. ग्राही 2. स्वीकारी,,,
acceptor bond,ग्राही आबंध,,,
accidental,"संयोगी,आकस्मिक",,,
acclimatization,दशानुकूलन,,,
accretion,अभिवदृधि,,,
accumulation,"संचय,संचयन",,,
accuracy,यथार्थता,,,
acetal decomposition,ऐसीटैल अपघटन,,,
acetalization,ऐसीटलन,,,
acetic acid,ऐसीटिक अम्ल,,,
acetoacetic ester,ऐसीटोऐसीटिक एस्टर,,,
acetylene,ऐसीटिलीन,,,
achromatic,अवर्णक,,,
achromatic lens,अवर्णक लेंस,,,
achromaticity,वर्णकता,,,
acicular shape,असूच्याकार आकृति,,,
acid,1. अम्ल 2. अधिसिलिक,,,
acid fast,अम्लस्थायी,,,
acid fixing bath,अम्लस्थायीकर अवगाह,,,
acid leaching,अम्ल-निक्षालन,,,
acid mordant dye,अम्लबंधी रंजक,,,
acid radical,अम्लीय मूलक,,,
acid reducing agent,अम्लीय अपचायक,,,
acid treatment,अम्लोपचार,,,
acid-alkali titration,अम्ल-क्षार अनुमापन,,,
acid-base catalysis,अम्ल-क्षारक उत्प्रेरण,,,
acidity of a base,क्षारक की अम्लता,,,
acidolysis,अम्लापघटन,,,
acidophil,(अचिदोप्हिले)अम्लरागी,,,
acidosis,आम्लरक्तता,,,
acidulation,आम्लीकरण,,,
acoustic,ध्वानिक,,,
acoustic intrusion detector,ध्वानिक अतिक्रमण संसूचक,,,
acoustic property,ध्वानिक गुणधर्म,,,
acoustics,"1. ध्वानिकी, 2. ध्वानिकता",,,
acquired,उपार्जित,,,
acrid,"उग्र,तीक्ष्ण",,,
acrylic polymer,ऐक्रिलिक बहुलक,,,
actinic ray,प्रकाश रसोक्रिय विकिरण,,,
actinide series,ऐक्टिनाइड श्रेणी,,,
action,1. क्रिया 2. कर्म,,,
activated complex,"सक्रियित संकुल,अच्तिवतिओन्सक्रियण",,,
activation entropy,सक्रियण ऐन्ट्रॉपी,,,
active molecule,सक्रिय अणु,,,
activity coefficient,सक्रियता गुणांक,,,
acyclic,अचक्रीय,,,
acylation,ऐसिलन,,,
adaptation,अनुकूलन,,,
adatom,अधिपरमाणु,,,
addition,1. योग जोड़ संकलन (सं.) 2. योगज योगात्मक (वि.),,,
addition compound,योगज यौगिक,,,
addition polymerization,योगज बहुलकन,,,
addition reaction,योगज अभिक्रिया,,,
additive,योज्य योगज,,,
additivity,योज्यता,,,
adhesion,आसंजन,,,
adiabatic,रुद्धोष्म,,,
adiabatic enthalpy drop,रुद्धोष्म एन्थैल्पी पात,,,
adiabatic expansion,रुद्धोष्म प्रसार,,,
adiabatic throttling,रुद्धोष्म उपरोधन,,,
adjacent,1. संलग्न निकटवर्ती 2. आसन्न,,,
adjacent double bond,संलग्न द्वि आबंध,,,
adjustable,समायोज्य,,,
adjustment of instrument,यंत्र समायोजन,,,
admissible,ग्राह्य,,,
admittance,प्रवेश्यता,,,
adsorbate,अधिशोष्य,,,
adsorption,अधिशोषण,,,
adsorption isostere,अधिशोषण समविन्यासी,,,
adsorption isotherm,अधिशोषण समताप वक्र,,,
adulteration,अपमिश्रण,,,
aeration,वायु वातन,,,
aerobic,1. वायवीय 2. वायुजीवी,,,
aerobiology,वायुजैविकी,,,
aerobiosis,वायुजीविता,,,
aeroelasticity,वायुप्रत्यास्थता,,,
aerosphere,वातमंडल,,,
aerostatics,वायुस्थैतिकी,,,
affinity,बंधुता,,,
affinity constant,बंधुता स्थिरांक,,,
after damp,खनिविस्फोटज गैस,,,
after glow,पश्च दीप्ति,,,
agehardening,कालकठोरण,,,
ageing (aging),1. कालप्रभावन 2. जरण,,,
agglomerate,1. संपिंड 2. संज्वालाश्म,,,
agglomeration,संपिंडन,,,
aggregation,समुच्चयन समुच्चय,,,
agricultural chemistry,कृषि रसायन,,,
agro chemical,1. कृषि रसायन 2. कृषि रासायनिक,,,
air bubble,वायु बुदबुद्,,,
air cooling,वायव शीतलन,,,
air elutriation,वायु धावपृथकन,,,
air hardening steel,वायुकठोरण इस्पात,,,
air pollution index,वायु प्रदूषण सूचकांक,,,
air-acetylene welding,वायु-ऐसिटलीन वेल्डिंग,,,
airway,वायुमार्ग,,,
albuminoid crystalloid,ऐल्बूमिनॉइड क्रिस्टलिंका,,,
albuminuria,ऐल्बूमिनमेह,,,
alchemist,कीमियागर,,,
alcohol,ऐल्कोहॉल,,,
alcoholysis,ऐल्कोहॉली अपघटन,,,
aldehyde,ऐल्डिहाइड,,,
aldehyde condensation polymer,ऐल्डिहाइड संघनन बहुलक,,,
aldol condensation,ऐल्डोल संघनन,,,
alignment,संरेखण,,,
aliphatic bond,ऐलिफैटिक आबंध,,,
aliphatic hydrocarbon,ऐलिफैटिक हाइड्रोकार्बन,,,
alkalescent,क्षाराभ,,,
alkali,क्षार,,,
alkali metal,क्षार धातु,,,
alkalimetry,क्षारमिति,,,
alkaline earth,क्षारीय मृदा,,,
alkalization,क्षारीयन,,,
alkaloid,ऐल्केलॉइड,,,
alkoxy radical,ऐल्कॉक्सी मूलक,,,
alkyl halide,ऐल्किल हैलाइड,,,
alkylation,ऐल्किलन,,,
all chair conformation,सार्व-कुर्सी संरूपण,,,
allelotropic mixture,अलेलोट्रॉपिक मिश्रण,,,
allochromy,अपरवर्णता,,,
alloisomerism,ऐलोसमावयवता,,,
allomorphism,अपरसंरूपता,,,
allotropy,अपररूपता,,,
allowed transition,अनुमत संक्रमण,,,
alloy,"मिश्रातु (सं.), मिश्रात्वन (क्रि.)",,,
alloy steel,मिश्रातु इस्पात,,,
alloying,मिश्रात्वन,,,
alluvial clay,जलोढ मृत्तिका,,,
alluvial ore,जलोढ अयस्क,,,
alpha disintegration,ऐल्फा विघटन,,,
alpha particle,ऐल्फा कण,,,
alternating current,प्रत्यावर्ती धारा,,,
alternation,एकांतरण,,,
alternatively,विकल्पतः,,,
altiscope,तुंगतादर्शी,,,
altitude,1. तुंगता ऊंचाई 2. उन्नतांश 3. शीर्षलम्ब,,,
alum,"फिटकरी,ऐलम",,,
alumetizing,ऐलुमिनन,,,
alumina floc,ऐलुमिना ऊर्णाभ,,,
aluminiferous,ऐलुमिनियममय,,,
aluminium,ऐलुमिनियम,,,
aluminization,ऐलुमिनन,,,
aluminothermy,ऐलुमिनोतापन,,,
amalgam,1. पारदधातु मिश्रण अमलगम 2. सम्मिश्रण,,,
ambient,परिवेश,,,
ambient temperature,परिवेशी ताप,,,
ambiguity,संदिग्धता,,,
amethyst violet,जामुनी,,,
amino acid,ऐमीनो अम्ल,,,
aminolysis,ऐमीनो अपघटन,,,
ammeter,ऐमीटर,,,
ammoniacal,अमोनियामय,,,
ammonifier,अमोनीकारक,,,
ammonolysis,अमोनी अपघटन,,,
amorphous,अक्रिस्टलीय,,,
amperometric tiţrations,धाराम्ितीय अनुमापन,,,
amperometry,धाराम्िति,,,
amperostatic coulometry,धारास्थैतिक कूलॉममिति,,,
amphiphilic molecule,उभयरागी अणु,,,
amphipolar ion,उभयध्रुवी आयन,,,
