English , Hindi ,,,,,,,,,,,,,
A B amplifier,ए बी वर्ग प्रवर्धक,,,,,,,,,,,,,
aberration,विपथन,अपेरण,,,,,,,,,,,,
abnormal propagation,असामान्य संचरण,,,,,,,,,,,,,
abrupt,असंलग्न,सहसा,खड़आ,विच्छिन्न,खंडित,,,,,,,,,
absent spectrum,लुप्त स्पेक्ट्रम,,,,,,,,,,,,,
absolute,निरपेक्ष,परम,अचर,परिशुद्ध,,,,,,,,,,
absolute humidity,निरपेक्ष आर्द्रता,,,,,,,,,,,,,
absolute motion,निरपेक्ष गति,,,,,,,,,,,,,
absolute observation,निरपेक्ष प्रेक्षण,,,,,,,,,,,,,
absolute temperature,परम ताप,,,,,,,,,,,,,
absolute zero,परम शून्य,,,,,,,,,,,,,
absorb,अवशोषण करना,,,,,,,,,,,,,
absorber,अवशोषक,अवशोषी,,,,,,,,,,,,
absorbing power,अवशोषण सामर्थ्य,,,,,,,,,,,,,
absorptance,अवशोषणांश,,,,,,,,,,,,,
absorptive,अवशोषी,,,,,,,,,,,,,
absorptivity,अवशोषकता,,,,,,,,,,,,,
abundance ratio,बाहुल्य अनुपात,,,,,,,,,,,,,
accelerate,त्वरित करना,,,,,,,,,,,,,
accelerated,त्वरित,,,,,,,,,,,,,
acceleration,त्वरण,,,,,,,,,,,,,
acceleration of gravity,गुरुत्व त्वरण,,,,,,,,,,,,,
accelerative,त्वरक,,,,,,,,,,,,,
accelerator,त्वरित्र,त्वरक,,,,,,,,,,,,
accelerometer,त्वरणमापी,,,,,,,,,,,,,
accentuator,प्राक्प्रबलक,,,,,,,,,,,,,
acceptance test,स्वीकारी परीक्षण,,,,,,,,,,,,,
acceptor,ग्राही,स्वीकारी,,,,,,,,,,,,
acceptor molecule,आदाता अणु,,,,,,,,,,,,,
access,अभिगम,प्रतीक्षा,अभिगम्यता,,,,,,,,,,,
accessibility,अभिगम्यता,,,,,,,,,,,,,
accessory,अतिरिक्त,सहायक,गौण (वि.) ,उपसाधन (सं.),,,,,,,,,,
access time,अभिगम काल,,,,,,,,,,,,,
accidental error,आगन्तुक त्रुटि,,,,,,,,,,,,,
accommodation,समंजन,,,,,,,,,,,,,
accumulated,संचित,,,,,,,,,,,,,
accumulation,संचय,संचयन,,,,,,,,,,,,
accumulator,संचायक,,,,,,,,,,,,,
accuracy,यथार्थता,,,,,,,,,,,,,
accurate,यथार्थ,,,,,,,,,,,,,
achromat,अवर्णक लेन्स,,,,,,,,,,,,,
achromatic,अवर्णक,,,,,,,,,,,,,
achromatism,अवर्णकता,,,,,,,,,,,,,
acoustical,ध्वानिक,,,,,,,,,,,,,
acoustically insulated,ध्वनिरुद्ध,,,,,,,,,,,,,
acoustical phonon,ध्वानिक फ़ओनॉन,,,,,,,,,,,,,
acoustical unit,ध्वनि-मात्रक,,,,,,,,,,,,,
acoustic,ध्वानिक,,,,,,,,,,,,,
acoustic generator,ध्वनि जनित्र,,,,,,,,,,,,,
action and reaction,क्रिया और प्रतिक्रिया,,,,,,,,,,,,,
activation,सक्रियण,,,,,,,,,,,,,
"activation ,energy",सक्रियण उर्जा,,,,,,,,,,,,,
activator,सक्रियकारक,सक्रियक,,,,,,,,,,,,
active,सक्रिय,,,,,,,,,,,,,
activity,सक्रियता,,,,,,,,,,,,,
actual stress,वास्तविक प्रतिबल,,,,,,,,,,,,,
acute exposure,क्षिप्र उद्भासन,,,,,,,,,,,,,
