English,Hindi,,
abacus,"1.एबेकस ,2. गिनतारा",,
abnormal termination,असामान्य समापन,,
abort,अवरोधन,,
absolute,"1. निरपेक्ष ,2. परम",,
absolute address,निरपेक्ष पता,,
absolute addressing,निरपेक्ष पताभिगमन,,
absolute assembler,निरपेक्ष कोडांतरक,,
absolute code,"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",,
absolute command,निरपेक्ष समादेश,,
absolute data,"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",,
absolute instruction,निरपेक्ष अनुदेश,,
absolute mode,निरपेक्ष विधा,,
absolute path,निरपेक्ष पथ,,
absolute programming,"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",,
abstract class,अमूर्त वर्ग,,
abstract data type,अमूर्त आंकड़ा प्रकार,,
abstract machine,अमूर्त मशीन,,
abstract symbol,अमूर्त प्रतीक,,
abstract syntax,अमूर्त वाक्य विन्यास,,
acceptance testing,स्वीकृति परीक्षण,,
access authentication,अभिगम प्रमाणन,,
access code,"1. अभिगम कूट ,2. अभिगम कोड",,
access control,अभिगम नियंत्रण,,
access scan,अभिगम क्रमवीक्षण,,
accessory,सहयंत्र,,
account,लेखा,,
account ID,"1. एकाउंट आई डी ,2. लेखा पहचान",,
accumulator,संचायक,,
accuracy,"1. विशुद्धता ,2. यर्थाथता",,
acess,अभिगम,,
acess control byte,अभिगम नियंत्रण बाइट,,
acess index,अभिगम सूचक,,
acess key,अभिगम कुंजी,,
acess matrix,"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स",,
acess mode,अभिगम विधा,,
acess privilege,अभिगम विशेषाधिकार,,
acess security,अभिगम सुरक्षा,,
acess server,"1. अभिगम परिसेवक ,2. अभिगम सर्वर",,
acess time,अभिगम काल,,
acknowledgement,अभिस्वीकृति,,
acoustics,ध्वनिकी,,
acronym,"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप",,
action message,क्रिया संदेश,,
activation,सक्रियण,,
active server page (ASP),सक्रिय सर्वर पृष्ठ,,
active version,सक्रिय वर्जन,,
acyclic,अचक्रीय,,
acyclic graph,"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ",,
Ada language,एडा कंप्यूटर भाषा,,
adapter,"1. अनुकूलक ,2. अनुकूलित्र",,
add,योग (करना),,
add file,योग संचिका,,
add operation,"1. जोड़ संक्रिया ,2. योग संक्रिया",,
adder,योजक,,
address,पता,,
address bus,पता बस,,
address file,पता संचिका,,
address format,पता आरूप,,
address generator,पता जनक,,
address line,पता पंक्ति,,
address mapping,पता प्रतिचित्रण,,
address pointer,पता संकेतक,,
address register,पता पंजी,,
address resolution,पता विघटन,,
address translation,पता अनुवाद,,
addressed memory,"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी",,
addressing,पताभिगमन,,
adequacy criteria,"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी",,
adjoint,संलग्न,,
administration,"1. प्रबंधन ,2. नियंत्रण",,
administrator,"1. प्रबंधक ,2. नियंत्रक",,
adobe acrobat,ऐडोब एक्रोबेट,,
adobe photoshop,ऐडोब फोटोशोप,,
Advance Business Application Programming (ABAP),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),,
advanced data,"1. उन्नत आंकड़ा ,2. उन्नत डाटा",,
advanced information system,उन्नत सूचना तंत्र,,
advanced technology (AT),उन्नत प्रौद्योगिकी (ए टी),,
agent,कर्मक,,
aggregation,समुच्चयन,,
airborne computer system,विमानवाहित कंप्यूटर तंत्र,,
aldus page maker,एल्डस पेज-मेक,,
alert box,सचेत पेटी,,
algol,ऐल्गॉल (कंप्यूटर भाषा),,
algorithm,"1.  एल्गोरिथ्म ,2. कलन विधि",,
algorithm analysis,"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण",,
algorithm efficiency,एल्गोरिथ्म दक्षता,,
alias,"1. एलिआस ,2. उपनाम ,3. उर्फ",,
alignment,संरेखण,,
allocation,"1. आवंटन ,2. नियतन",,
alphabetic,"1.अक्षरात्मक ,2. वर्णानुक्रम",,
alphanumeric,अक्षरांकीय,,
alphanumeric key board,"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड",,
alpha-test,अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण),,
alpha-version,"1. अल्फा वर्जन ,2. अल्फा रूप",,
alt key,आल्ट कुंजी,,
altavista,आल्टाविस्टा,,
ambiguity,अनेकार्थकता,,
ambiguous grammar,संदिग्ध व्याकरण,,
American National Standards Institute (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.),,
American Standard Code For Information Interchange (ASCII),अमेरिकी मानक कट (आस्की),,
analog,"1. अनुरुप ,2. एनालॉग",,
analog computer,"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर",,
analog device,"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस",,
analog modem,"1. एनालॉग मोडेम ,2. अनुरुप मोडेम",,
Analog To Digital Converter (ADC),अनुरुप से अंकीय रुपांतरक,,
AND,एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त),,
AND circuit,एंड परिपथ,,
AND gate,एंड गेट और द्वार,,
AND not operation (Exclusion),एंड नॉट संक्रिया (अपवर्जन),,
animation,"1. एनीमेशन, 2.  सजीवन",,
annotation,टिप्पण,,
anomaly,असंगता,,
antecedent,पूर्ववर्ती,,
anticipatory paging,प्रत्याशामूलक पृष्ठन,,
anti-symmetric,प्रति-सममित,,
antivirus program,विषाणुरोधी क्रमादेश,,
applet,"1. एपलेट ,2. अनुप्रयोगिका",,
application developer,अनुप्रयोग विकासक,,
application programming,अनुप्रयोग प्रोग्रामन,,
application programming interface (API),"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)",,
application software,अनुप्रयोग सॉफ्टवेयर,,
applicative language,अनुप्रयोगी भाषा,,
approximation theory,सन्निकटण सिद्धांत,,
architecture,संरचना,,
area transfer,क्षेत्र अंतरण,,
argument,"1. प्राचर,स्वतंत्रचर, 2. कोणांक",,
arithmatic and logic unit,"1. अंकगणितीय एवं तर्क एकक ,2. अंकगणितीय एवं तर्क इकाई",,
arithmatic check,अंकगणितीय जांच,,
arithmatic constant,अंकगणितीय अचर,,
arithmatic data,अंकगणितीय आंकडा,,
arithmatical instruction,अंकगणितीय अनुदेश,,
arithmetic and logic unit (ALU),गणितीय एवं तार्किक इकाई (ए. एल. यू.),,
ARPANET,ए आर पी ए नेट (आरपानेट),,
array,सरणी,,
array cache,"1. सरणी कैशे ,2. सरणी द्रुतिका ,3. सरणी द्रुतस्मृति",,
array computer,सरणी कंप्यूटर,,
array element,सरणी अवयव,,
array name,सरणी नाम,,
array processor,सरणी प्रकर्मक,,
arrow keys,एरो कुंजी,,
articulation,संधि,,
articulation point,संधि बिन्दु,,
artificial compaction,कृत्रिम संहनन,,
artificial control,कृत्रिम नियंत्रण,,
artificial intelligence,कृत्रिम बोध,,
ascender,आरोहक,,
ascending sort,आरोही छंटाई,,
ASCII betical order,आस्की वर्णक्रम,,
ASCII control character,आस्की नियंत्रण संप्रतीक,,
ASCII file,आस्की संचिका,,
ASCII font,आस्की फॉन्ट,,
ASCII transfer,आस्की अंतरण,,
aspect ratio,अभिमुखता अनुपात,,
ASPI,"1. ऐस्पी ,2. ए एस पी आई",,
ASR timer,ए एस आर कालद,,
assemble,"1. स्मरांतरण ,2. कोडांतरण ,3. कोडांतर करना",,
assembler,"1. कोडांतरक ,2. स्मरांतरक",,
assembly,"1. कोडांतरण ,2. स्मरांतरण",,
assembly language,"1. स्मरांतरण भाषा ,2. कोडांतरण भाषा",,
assertion,निश्चयन,,
assignment,"1. निर्दिष्ट कार्य ,2. नियतन",,
association,साहचर्य,,
associative address,साहचर्य पता,,
associative memory,"1. साहचर्य स्मृति ,2. साहचर्य मेमोरी",,
asteric,तारक (*का चिन्ह),,
asymmetric,असम्मित,,
asynchronous,"1. अतुल्यकालिक ,2. अतुल्यकाली",,
asynchronous Digital Subscriber Line (ADSL),अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल),,
asynchronous Time Division Multiplexing (ATDM),अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम),,
asynchronous transfer,अतुल्यकालिक अंतरण,,
asynchronous Transfer Mode (ATM),अतुल्यकालिक अंतरण विधा (ए टी एम),,
atom,"1. एटम ,2. परमाण",,
attached document,संलग्न प्रलेख,,
attached file,"1. संलग्न संचिका/मिसिल ,2. संलग्न फाइल",,
attachment,"1. संलग्नक ,2. संबंद्ध",,
attribute,"1. गुण ,2. विशेषता",,
audio,श्रव्य,,
audit programming,"1. लेखा परीक्षा क्रमादेशन ,2. लेखा परीक्षा प्रोग्रामन",,
audit trail,लेखा सत्यापन,,
augmentation,संवर्धन,,
authentication protocol,प्रमाणन प्रोटोकॉल,,
authoring system,संलेखन पद्धति,,
authorization,"1. प्राधिकरण ,2. अधिकृति ,3. अधिकरण",,
auto abstract,स्वत: सार,,
autobooting,"1. स्वतः बूटिंग ,2. स्व बूटन",,
autocad,ऑटोकैड (एक कंप्यूटर भाषा),,
autolog on,स्वत: लॉग-ऑन,,
automata,ऑटोमेटा,,
automata theory,आटोमेटा सिद्धांत,,
automatic computing,स्वत: अभिकलन,,
automatic data processing,स्वत: आंकड़ा प्रक्रमण,,
automatic error correction,स्वत: त्रुटि संशोधन,,
automatic function,स्वत: फलन,,
automatic indexing,"1.  स्वत: सूचकीकरण ,2. स्वत: सूचीकरण",,
automatic library call,स्वत: संग्रह आह्वान,,
automatic programming,"1. स्वत: क्रमादेशन ,2. स्वत: प्रोग्रामन",,
automatic recovery program,"1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम",,
automatic routine,स्वत: नेमका,,
automatic system recovery,स्वत: सिस्टम पुन: प्राप्ति,,
automatic teller machine (ATM),"1. स्वत: टेलर मशीन्अ (ए टी एम) ,2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)",,
automation,स्वचालन,,
autoplay,"1. आटोप्ले ,2. स्वत: चलन",,
autosave,स्वरक्षण,,
auxiliary,सहायक,,
auxiliary memory,सहायक स्मृति,,
auxiliary storage,सहायक भंडारण,,
available list,उपलब्ध लिस्ट,,
available time,उपलब्ध समय,,
average,औसत,,
awk (language),ए डब्ल्यू के (एक कंप्यूटर समादेश),,
backend,पश्चांत,,
backend processor,पश्चांत प्रक्रमक,,
backface removal,पश्च फलन विलोपन,,
background processing,पृष्ठभूमि प्रक्रमण,,
backing store,सहायक भंडार,,
backpatching,पश्च पैचीकरण,,
backspace,"1. पश्चीयन ,2. बैकस्पेस",,
backtracking,पश्चपथन,,
back-up,"1. बैक-अप ,2. पूर्तिकर",,
back-up memory,"1. पूर्तिकर स्मृति ,2. बैक-अप मेमोरी",,
backward error recovery,पश्च त्रुटि सुधार,,
balance sheet,(आय-व्यय) तुलन पत्र,,
band,पट्टी,,
band width,"1. बैंड चौड़आई ,2. बैंड विड्थ/क्षमता",,
banker's algorithm,बैंकर एल्गोरिथ्म,,
bar code,"1.बार कूट ,2. बार कोड",,
bar code scanner,बार कोड स्कैनर,,
bar graph,बार ग्राफ,,
base address,आधार पता,,
base band,आधार बैंड,,
base number,आधार संख्या,,
base table,आधार सारणी,,
BASIC,बेसिक (एक कंप्यूटर भाषा),,
basic control,"1. मूल नियंत्रण ,2. आधार नियंत्रण",,
basic input,"1. मूल निवेश ,2. आधारी निवेश",,
basic instruction,आधारभूत अनुदेश,,
basic output,आधारी निर्गम,,
basic step,मूल चरण,,
batch,"1. बैच ,2. समूह ,3. प्रचय",,
batch file,"1. बैच फाइल ,2. बैच संचिका",,
batch position,बैच स्थिति,,
batch processing,"1. बैच प्रक्रमण ,2. समूह प्रक्रमण",,
batch system,"1. बैच तंत्र ,2. प्रचय तंत्र",,
baud,बॉड,,
baud rate,बॉड दर,,
beam,किरण पुंज,,
benchmark,"1. निर्देशमानक ,2. बैचमार्क",,
bidirectional communication,द्विदिश संचार,,
bidirectional link,विदिश कड़ी,,
binary code,द्विआधारी कूट,,
binary digit,द्विआधारी अंक,,
binary Input output system (BIOS),द्विआधारी निवेश निर्गम तंत्र (बायोस),,
binary number,द्विआधारी संख्या,,
binary operator,द्विआधारी संकारक,,
binary relation,द्विआधारी संबंध,,
binary search,द्विआधारी खोज,,
binary search tree (BST),द्विआधारी अन्वेषण तरु (बी एस टी),,
binary transfer,"1. द्विआधारी ट्रांसफर तरु ,2. द्विआधारी अंतरण",,
binary tree,द्विआधारी तरु,,
bipolar memory,"1. द्विध्रुवी स्मृति ,2. द्विध्रुवी मेमोरी",,
birth death model,"1. जन्म मरण मॉडल ,2. जन्म मरण निदर्श",,
birth death process,जन्म मरण प्रक्रम,,
bit,"1. द्वयंक ,2. बिट",,
bit fault,बिट दोष,,
bit map,बिट प्रतिचित्र,,
bit map pixel (BMP),"1. बिट ,2. प्रतिचित्र ,3. पिक्सेल (बी एम पी)",,
bit matrix,"1. बिट आव्यूह ,2. बिट सारणी",,
bit pattern,बिट प्रतिरूप,,
bit position,बिट स्थिति,,
bit rate,"1. बिट रेट ,2. बिट दर",,
black box testing,अंध पेटी परीक्षण,,
blinking,टिमटिमाना,,
block,ब्लॉक,,
block cache,"1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति",,
block check,खंडक जांच,,
block copy,खंड प्रतिलिपि,,
block diagram,खंडक आरेख,,;
blocking network,"1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम",,
board,बोर्ड,,
book mark,पृष्ठ स्मृति,,
boolean algebra,बूलीय बीजगणित,,
boolean relation,बूलीय संबंध,,
boot partition,बूट विभाजन,,
boot strapping,बूट स्ट्रैपिंग,,
boot-strap loader,1.बूटस्ट्रैप भारक 2. स्वोत्थानी,,
bridge,"1.ब्रिज, 2. सेतु",,
broadband networking,ब्राडबैंड नेटवर्क,,
broadcast,प्रसारण,,
broadcast radio,प्रसारण रेडियो,,
browse,(नेट) विचरण,,
browser,(नेट) विचरक,,
B-Tree,बी-तरु,,
bubble memory,"1.बुदबुद स्मृति, 2.बबल मेमोरी",,
bubble sort,बुदबुद छंटाी,,
bucket,"1.बाल्टी, 2.बकेट",,
buddy system,"1.बंधुता तंत्र, 2.बडी तंत्र",,
budget effective control,बजट प्रभावी नियंत्रण,,
buffer,बफर,,
bug,दोष,,
bus,बस,,
byte,"1.अष्ट वयंक,2. बािट (आठ बिट)",,
byte code,बािट कोड,,
c,सी (कंप्यूटर भाषा),,
C++,"1.सी प्लस प्लस,2.C++(कंप्यूटर भाषा)",,
cache,"1.कैश,2. द्रुतिका,3.द्रुत",,
cache buffer,"1.कैश बफर, 2.द्रुतस्मृति बफर",,
cache memory,"1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति",,
calculation,परिकलन,,
